Date,Open,High,Low,Close,Adj Close,Volume
12-06-2019,1284.949951,1292.699951,1277.550049,1288.849976,1259.968872,1456438
13-06-2019,1283,1298.25,1276.400024,1295.449951,1266.421021,1734153
14-06-2019,1296.050049,1297.949951,1277.099976,1281.900024,1253.174561,874483
17-06-2019,1286,1292.550049,1248.5,1256.050049,1227.903931,2057502
18-06-2019,1256.050049,1261,1235,1257.5,1229.321411,1845151
19-06-2019,1280,1288,1257.650024,1275.099976,1246.526978,1650715
20-06-2019,1274.5,1308.949951,1266.050049,1306.599976,1277.321045,1693438
21-06-2019,1306,1317,1288.25,1292.349976,1263.390503,2640376
24-06-2019,1302,1307.400024,1291.050049,1300.050049,1270.918091,1419605
25-06-2019,1309,1320.849976,1296.050049,1318.150024,1288.612305,1955640
26-06-2019,1312.599976,1322.900024,1306.650024,1309.050049,1279.716309,1335984
27-06-2019,1309.099976,1332.699951,1306.75,1329.199951,1299.414673,1841074
28-06-2019,1325,1337.050049,1318,1334.699951,1304.79126,1345592
01-07-2019,1330.099976,1340.900024,1321.150024,1323.199951,1293.549194,1554897
02-07-2019,1325,1332.199951,1310.5,1324,1294.331177,1397406
03-07-2019,1329.550049,1333.5,1316.5,1328.449951,1298.681396,1351543
04-07-2019,1321.800049,1321.800049,1286,1290.349976,1261.435303,2901447
05-07-2019,1283.5,1300.550049,1249.699951,1278.099976,1249.459839,3015054
08-07-2019,1260,1270.900024,1245.699951,1252.449951,1224.384399,2308725
09-07-2019,1175,1175,1073,1098.949951,1074.324097,22143587
10-07-2019,1103,1125,1088.349976,1101.199951,1076.523804,6366343
11-07-2019,1109,1115.650024,1071.400024,1097,1072.417847,5179244
12-07-2019,1104,1129,1090,1101.199951,1076.523804,4845853
15-07-2019,1110,1110.050049,1077.349976,1089.400024,1064.988281,2563929
16-07-2019,1092,1118,1082.550049,1114.75,1089.770142,2457767
17-07-2019,1110.25,1118,1105.300049,1109.900024,1085.028687,2538956
18-07-2019,1105,1106.5,1056.199951,1080,1055.799072,3482208
19-07-2019,1090,1103,1077.949951,1091.050049,1066.601196,3302082
22-07-2019,1087.900024,1092,1062.099976,1085.550049,1061.224487,2341863
23-07-2019,1090,1109.900024,1086.400024,1099.150024,1074.519653,2527679
24-07-2019,1101,1110,1081.25,1087.400024,1063.033081,1732174
25-07-2019,1093.900024,1100.699951,1084.599976,1090.449951,1066.014648,1770220
26-07-2019,1085.800049,1112.199951,1083,1106.400024,1081.607178,1128870
29-07-2019,1106.900024,1109,1071.900024,1078.900024,1059.511597,1661014
30-07-2019,1080,1093.599976,1072.099976,1079.199951,1064.740479,2335907
31-07-2019,1079.150024,1079.150024,1041,1056.349976,1042.196655,3050699
01-08-2019,1052.099976,1069.349976,1041.400024,1057.300049,1043.134033,2321381
02-08-2019,1062,1075.400024,1046.050049,1064.699951,1050.434814,1789229
